County, 2010, 2011, 2012, 2013
ALAMEDA,423,206,62,117
ALPINE,0,0,0,0
AMADOR,4,11,1,2
BUTTE,32,16,3,33
CALAVERAS,9,5,0,2
COLUSA,11,1,0,0
CONTRACOSTA,205,114,24,69
DELNORTE,16,0,0,0
ELDORADO,54,11,3,4
FRESNO,550,58,16,39
GLENN,1,1,0,0
HUMBOLDT,58,15,1,5
IMPERIAL,9,3,8,3
INYO,8,0,1,0
KERN,376,51,2,29
KINGS,26,6,0,2
LAKE,5,3,2,4
LASSEN,1,0,0,0
LOSANGELES,1303,609,209,258
MADERA,120,8,0,10
MARIN,351,26,5,183
MARIPOSA,10,1,0,0
MENDOCINO,27,3,0,6
MERCED,131,27,0,1
MODOC,0,0,0,0
MONO,18,2,21,2
MONTEREY,132,38,17,48
NAPA,25,11,6,13
NEVADA,23,2,5,70
ORANGE,499,142,74,111
PLACER,80,19,11,82
PLUMAS,2,4,0,1
RIVERSIDE,467,166,46,76
SACRAMENTO,175,69,36,69
SAN BENITO,7,3,1,1
SAN BERNARDINO,182,115,54,35
SANDIEGO,1140,398,159,369
SANFRANCISCO,141,70,30,59
SANJOAQUIN,84,27,15,26
SANLUISOBISPO,371,15,14,17
SANMATEO,191,57,23,101
SANTABARBARA,66,18,11,29
SANTACLARA,478,175,45,252
SANTACRUZ,87,22,13,54
SHASTA,32,27,2,7
SIERRA,0,0,0,0
SISKIYOU,10,0,2,5
SOLANO,40,12,10,14
SONOMA,246,116,18,47
STANISLAUS,159,43,11,16
SUTTER,5,1,0,2
TEHAMA,10,1,0,0
TRINITY,0,0,0,0
TULARE,230,77,27,25
TUOLUMNE,32,4,1,1
VENTURA,372,162,15,36
YOLO,17,5,6,4
YUBA,3,0,1,4
,,,,
,,,,
